Left Eye Coordinates in Pixels		Right Eye Coordinates in Pixels		Timestamp
693, 604                            629, 559                            1433254982709
694, 603                            631, 559                            1433254982743
696, 604                            631, 559                            1433254982777
697, 604                            632, 559                            1433254982820
698, 602                            632, 559                            1433254982854
699, 602                            633, 559                            1433254982889
699, 602                            635, 559                            1433254982922
700, 601                            635, 559                            1433254982967
700, 601                            635, 558                            1433254983000
700, 601                            637, 557                            1433254983033
700, 601                            637, 556                            1433254983076
700, 600                            638, 555                            1433254983110
808, 506                            767, 453                            1433254983153
820, 494                            796, 437                            1433254983187
821, 495                            768, 440                            1433254983221
826, 494                            762, 441                            1433254983255
826, 494                            765, 440                            1433254983298
832, 493                            772, 439                            1433254983331
834, 494                            775, 437                            1433254983375
836, 494                            779, 438                            1433254983409
836, 494                            782, 438                            1433254983443
837, 494                            785, 439                            1433254983487
838, 494                            787, 439                            1433254983521
839, 494                            786, 438                            1433254983554
838, 493                            786, 437                            1433254983598
838, 490                            786, 433                            1433254983631
838, 488                            791, 430                            1433254983664
838, 485                            790, 427                            1433254983708
838, 483                            792, 425                            1433254983742
837, 481                            794, 423                            1433254983776
908, 347                            853, 270                            1433254983819
969, 217                            942, 183                            1433254983853
969, 223                            929, 182                            1433254983886
972, 225                            941, 187                            1433254983930
973, 228                            941, 189                            1433254983964
973, 229                            946, 190                            1433254983997
971, 240                            942, 192                            1433254984041
1128, 292                          1147, 287                            1433254984074
1218, 313                          1232, 320                            1433254984107
1248, 323                          1244, 319                            1433254984152
1262, 328                          1249, 319                            1433254984185
1274, 330                          1264, 313                            1433254984220
1313, 343                          1264, 314                            1433254984263
1316, 339                          1257, 336                            1433254984298
1343, 499                          1346, 597                            1433254984330
1338, 567                          1339, 629                            1433254984374
1336, 603                          1318, 640                            1433254984407
1331, 624                          1309, 648                            1433254984440
1318, 705                          1310, 651                            1433254984484
1320, 702                          1310, 672                            1433254984517
1319, 708                          1314, 669                            1433254984552
1317, 711                          1284, 668                            1433254984596
1315, 714                          1273, 671                            1433254984629
1222, 732                          1151, 703                            1433254984663
836, 823                           1068, 723                            1433254984708
830, 821                            773, 798                            1433254984741
831, 820                            769, 811                            1433254984774
832, 825                            760, 808                            1433254984818
831, 828                            766, 801                            1433254984851
833, 828                            767, 798                            1433254984883
833, 829                            769, 797                            1433254984927
696, 852                            636, 787                            1433254984960
374, 803                            309, 752                            1433254985003
365, 810                            314, 749                            1433254985038
363, 807                            316, 752                            1433254985072
362, 805                            309, 752                            1433254985106
364, 805                            308, 750                            1433254985150
242, 627                            200, 572                            1433254985184
299, 367                            263, 274                            1433254985217
306, 349                            214, 240                            1433254985261
308, 345                            215, 228                            1433254985294
300, 309                            161, 171                            1433254985328
292, 287                            128, 136                            1433254985373
317, 325                            249, 207                            1433254985407
313, 330                            216, 208                            1433254985441
313, 331                            238, 214                            1433254985483
331, 327                            262, 214                            1433254985517
451, 324                            389, 223                            1433254985551
524, 323                            468, 229                            1433254985595
810, 318                            785, 246                            1433254985629
801, 311                            728, 247                            1433254985663
806, 310                            728, 245                            1433254985707
807, 311                            740, 245                            1433254985742
808, 310                            748, 245                            1433254985775
808, 309                            753, 246                            1433254985818
808, 309                            755, 245                            1433254985852
1179, 293                          1161, 230                            1433254985885
1221, 281                          1177, 233                            1433254985928
1233, 218                           588, 116                            1433254985961
1235, 199                            390, 77                            1433254985994
1231, 219                           585, 129                            1433254986038
1230, 232                           707, 157                            1433254986072
1345, 514                          1347, 461                            1433254986105
1331, 718                          1310, 649                            1433254986149
1326, 715                          1311, 649                            1433254986182
1323, 717                          1294, 650                            1433254986224
1323, 717                          1285, 652                            1433254986259
1322, 720                          1292, 654                            1433254986292
1320, 722                          1304, 659                            1433254986336
1318, 724                          1265, 655                            1433254986370
1317, 721                          1288, 658                            1433254986403
1315, 723                          1277, 659                            1433254986446
1314, 723                          1287, 661                            1433254986481
1316, 725                          1293, 659                            1433254986514
879, 854                            831, 801                            1433254986558
857, 854                            810, 793                            1433254986592
856, 857                            807, 793                            1433254986626
856, 853                            805, 795                            1433254986661
855, 853                            799, 796                            1433254986706
854, 855                            799, 796                            1433254986740
853, 856                            799, 797                            1433254986773
853, 857                            798, 800                            1433254986817
851, 859                            798, 800                            1433254986850
851, 858                            798, 800                            1433254986882
850, 857                            800, 801                            1433254986926
481, 831                            406, 778                            1433254986960
363, 773                            315, 705                            1433254986994
356, 782                            328, 712                            1433254987037
357, 786                            325, 720                            1433254987071
357, 786                            314, 718                            1433254987104
356, 785                            315, 719                            1433254987147
350, 784                            314, 722                            1433254987181
322, 578                            269, 514                            1433254987225
337, 466                            342, 254                            1433254987258
345, 424                            312, 248                            1433254987291
349, 404                            321, 245                            1433254987334
354, 394                            320, 246                            1433254987367
367, 349                            320, 247                            1433254987401
364, 347                            304, 246                            1433254987445
368, 351                            310, 239                            1433254987479
479, 382                            519, 305                            1433254987512
554, 407                            598, 342                            1433254987557
599, 423                            635, 359                            1433254987590
780, 485                            663, 372                            1433254987624
768, 490                            743, 420                            1433254987669
771, 487                            698, 415                            1433254987702
772, 489                            721, 415                            1433254987735
772, 489                            725, 414                            1433254987779
775, 489                            728, 415                            1433254987812
775, 488                            730, 414                            1433254987845
776, 488                            724, 414                            1433254987889
778, 487                            723, 413                            1433254987924
787, 488                            735, 416                            1433254987958
796, 490                            745, 417                            1433254988002
802, 491                            751, 418                            1433254988037
809, 492                            757, 420                            1433254988071
814, 493                            760, 421                            1433254988105
817, 495                            762, 423                            1433254988149
819, 498                            767, 426                            1433254988183
821, 500                            768, 429                            1433254988217
823, 502                            769, 430                            1433254988261
824, 503                            770, 432                            1433254988295
825, 505                            771, 434                            1433254988328
827, 506                            770, 436                            1433254988362
845, 648                            747, 556                            1433254988405
